FIPS,State,Area_Name,POP_ESTIMATE_2016
01001,AL,Autauga County,"55,416"
01003,AL,Baldwin County,"208,563"
01005,AL,Barbour County,"25,965"
01007,AL,Bibb County,"22,643"
01009,AL,Blount County,"57,704"
01011,AL,Bullock County,"10,362"
01013,AL,Butler County,"19,998"
01015,AL,Calhoun County,"114,611"
01017,AL,Chambers County,"33,843"
01019,AL,Cherokee County,"25,725"
01021,AL,Chilton County,"43,941"
01023,AL,Choctaw County,"12,993"
01025,AL,Clarke County,"24,392"
01027,AL,Clay County,"13,492"
01029,AL,Cleburne County,"14,924"
01031,AL,Coffee County,"51,226"
01033,AL,Colbert County,"54,216"
01035,AL,Conecuh County,"12,395"
01037,AL,Coosa County,"10,581"
01039,AL,Covington County,"37,458"
01041,AL,Crenshaw County,"13,913"
01043,AL,Cullman County,"82,471"
01045,AL,Dale County,"49,226"
01047,AL,Dallas County,"40,008"
01049,AL,DeKalb County,"70,900"
01051,AL,Elmore County,"81,799"
01053,AL,Escambia County,"37,728"
01055,AL,Etowah County,"102,564"
01057,AL,Fayette County,"16,546"
01059,AL,Franklin County,"31,628"
01061,AL,Geneva County,"26,614"
01063,AL,Greene County,"8,422"
01065,AL,Hale County,"14,952"
01067,AL,Henry County,"17,164"
01069,AL,Houston County,"104,056"
01071,AL,Jackson County,"52,138"
01073,AL,Jefferson County,"659,521"
01075,AL,Lamar County,"13,918"
01077,AL,Lauderdale County,"92,318"
01079,AL,Lawrence County,"33,244"
01081,AL,Lee County,"158,991"
01083,AL,Limestone County,"92,753"
01085,AL,Lowndes County,"10,358"
01087,AL,Macon County,"18,963"
01089,AL,Madison County,"356,967"
01091,AL,Marengo County,"19,673"
01093,AL,Marion County,"29,998"
01095,AL,Marshall County,"95,157"
01097,AL,Mobile County,"414,836"
01099,AL,Monroe County,"21,530"
01101,AL,Montgomery County,"226,349"
01103,AL,Morgan County,"119,012"
01105,AL,Perry County,"9,574"
01107,AL,Pickens County,"20,324"
01109,AL,Pike County,"33,286"
