id,State,name,rate2010,rate2011,rate2012,rate2013,rate2014,rate2015,rate2016
01001,AL,Autauga County,"54,742","55,255","55,027","54,792","54,977","55,035","55,416"
01003,AL,Baldwin County,"183,199","186,653","190,403","195,147","199,745","203,690","208,563"
01005,AL,Barbour County,"27,348","27,326","27,132","26,938","26,763","26,270","25,965"
01007,AL,Bibb County,"22,861","22,736","22,645","22,501","22,511","22,561","22,643"
01009,AL,Blount County,"57,376","57,707","57,772","57,746","57,621","57,676","57,704"
01011,AL,Bullock County,"10,892","10,722","10,654","10,576","10,712","10,455","10,362"
01013,AL,Butler County,"20,938","20,848","20,665","20,330","20,283","20,126","19,998"
01015,AL,Calhoun County,"118,468","117,736","117,208","116,475","115,837","115,285","114,611"
01017,AL,Chambers County,"34,101","34,006","34,084","34,123","33,996","34,043","33,843"
01019,AL,Cherokee County,"25,977","26,073","26,017","26,074","25,944","25,726","25,725"
01021,AL,Chilton County,"43,675","43,758","43,693","43,769","43,874","43,809","43,941"
01023,AL,Choctaw County,"13,840","13,610","13,549","13,384","13,310","13,201","12,993"
01025,AL,Clarke County,"25,762","25,549","25,148","25,105","24,862","24,726","24,392"
01027,AL,Clay County,"13,882","13,676","13,461","13,464","13,503","13,495","13,492"
01029,AL,Cleburne County,"14,975","14,976","14,928","15,031","15,076","14,996","14,924"
01031,AL,Coffee County,"50,183","50,484","51,180","50,729","50,757","51,063","51,226"
01033,AL,Colbert County,"54,521","54,460","54,493","54,456","54,427","54,295","54,216"
01035,AL,Conecuh County,"13,209","13,193","13,007","12,866","12,621","12,597","12,395"
01037,AL,Coosa County,"11,758","11,369","11,201","11,058","10,794","10,687","10,581"
01039,AL,Covington County,"37,801","38,066","37,842","37,890","37,795","37,661","37,458"
01041,AL,Crenshaw County,"13,857","13,903","13,920","13,874","13,898","13,876","13,913"
01043,AL,Cullman County,"80,476","80,457","80,351","80,731","81,167","81,858","82,471"
01045,AL,Dale County,"50,360","50,119","50,296","49,753","49,389","49,370","49,226"
01047,AL,Dallas County,"43,820","43,207","42,748","41,950","41,532","40,893","40,008"
01049,AL,DeKalb County,"71,143","71,389","70,961","70,882","70,947","70,996","70,900"
01051,AL,Elmore County,"79,573","80,030","80,291","80,661","80,794","81,238","81,799"
